timestamp,config_retrieval,model_llm,user_query,category_detected,chunks_retrieved_count,retrieved_chunk_ids,best_similarity_score,average_similarity_score,response_time_seconds,estimated_prompt_tokens,estimated_completion_tokens,estimated_total_tokens,found_state
2026-05-27 20:52:58,a,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"4ccc532e27da5650c835c41972240137,1d81034ec31e8dac64cb835085ccdf89,0e57f9cd175b84aa615d278c38ebb1f8,2b6d46e2ea687b254159ef546bb01230",0.2356,0.2404,5.33,647,105,752,True
2026-05-27 20:54:11,a,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"4ccc532e27da5650c835c41972240137,1d81034ec31e8dac64cb835085ccdf89,0e57f9cd175b84aa615d278c38ebb1f8,2b6d46e2ea687b254159ef546bb01230",0.2356,0.2404,5.7,647,101,748,True
2026-05-27 20:54:16,a,gemini-3.5-flash,Berapakah jumlah maksimal SKS yang dapat diambil mahasiswa per semester?,academic,4,"6da592a482e96fc49e4d23f9a429c94f,2ee15ef20731b4dbbb3d886dcf439810,22681f160ac0116159750830e03fc086,c1ac85e4816af0f4bfe2a23a813697d9",0.2136,0.2302,4.81,631,31,662,True
2026-05-27 20:57:24,a,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"4ccc532e27da5650c835c41972240137,1d81034ec31e8dac64cb835085ccdf89,0e57f9cd175b84aa615d278c38ebb1f8,2b6d46e2ea687b254159ef546bb01230",0.2356,0.2404,9.42,647,100,747,True
2026-05-27 20:57:29,a,gemini-3.5-flash,Berapakah jumlah maksimal SKS yang dapat diambil mahasiswa per semester?,academic,4,"6da592a482e96fc49e4d23f9a429c94f,2ee15ef20731b4dbbb3d886dcf439810,22681f160ac0116159750830e03fc086,c1ac85e4816af0f4bfe2a23a813697d9",0.2136,0.2302,4.23,631,34,665,True
2026-05-27 20:58:28,a,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"4ccc532e27da5650c835c41972240137,1d81034ec31e8dac64cb835085ccdf89,0e57f9cd175b84aa615d278c38ebb1f8,2b6d46e2ea687b254159ef546bb01230",0.2356,0.2404,5.81,647,108,755,True
2026-05-27 20:58:32,a,gemini-3.5-flash,Berapakah jumlah maksimal SKS yang dapat diambil mahasiswa per semester?,academic,4,"6da592a482e96fc49e4d23f9a429c94f,2ee15ef20731b4dbbb3d886dcf439810,22681f160ac0116159750830e03fc086,c1ac85e4816af0f4bfe2a23a813697d9",0.2136,0.2302,4.31,631,29,660,True
2026-05-27 21:01:25,b,gemini-3-flash-preview,halo,general,4,"a1481046b5c0dd8e92a57c1943ebcb66,3c4382ce3cf52f55c0fdf5c760d7d407,62caa5a7cbe41a47fa3f252e43c6afb8,fbbba3739aea2edc583fc298118ea7c0",0.3884,0.3911,3.72,900,1288,2188,True
2026-05-27 21:01:49,b,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"4ccc532e27da5650c835c41972240137,1d81034ec31e8dac64cb835085ccdf89,0e57f9cd175b84aa615d278c38ebb1f8,2b6d46e2ea687b254159ef546bb01230",0.2356,0.2404,5.7,647,107,754,True
2026-05-27 21:01:54,b,gemini-3.5-flash,Berapakah jumlah maksimal SKS yang dapat diambil mahasiswa per semester?,academic,4,"dd2fac03280f3d5f713241febfcdd119,03ce6330274cb1c8740a56c4751a421b,cd682984d7c15fa112a571ee34ab50a7,2fe4df326fdd896ca11c376a273d10b1",0.2275,0.2507,4.34,1111,86,1197,True
2026-05-27 21:02:12,b,gemini-3-flash-preview,apa syarat kkt,general,4,"1aedacb17e0826df042ac9f6b1b18454,3893f4779434d6b1bd7c240032f36873,49e3b4869980826bfd07492ae2a8a90d,3c4382ce3cf52f55c0fdf5c760d7d407",0.233,0.2571,12.32,2551,2877,5428,True
2026-05-27 21:05:09,c,gemini-3.5-flash,Apa visi Universitas Sam Ratulangi?,institution_profile,4,"6feda853341098071c81155336739493,2b6d46e2ea687b254159ef546bb01230,0e57f9cd175b84aa615d278c38ebb1f8,0a1476b8ebc2055eaace6a3ee7d102ab",5.8008,6.5592,3.45,745,80,825,True
2026-05-27 21:05:13,c,gemini-3.5-flash,Berapakah jumlah maksimal SKS yang dapat diambil mahasiswa per semester?,academic,4,"95d884738eb856f61d378dc589d95d75,1cffc5b40f43bbf8009be4d5f90162ae,7c31e693646ccb67050a71560e4d92e7,0924914113f72fffe62f3d6300afce8b",9.8276,10.7661,4.5,1235,198,1433,True
2026-05-27 21:06:31,b,gemini-3.1-pro-preview,syarat cum laude,general,4,"3c45bc06990cc7c090bbc6565d027410,defe84bb5a90f332a8b3af3382f733ee,9810ca3f90ba19fd8e095f1fa4403223,733d9c333c9afbac001d665f1f717527",0.2279,0.231,111.16,1812,30,1842,True
